formula,bulk_modulus_voigt,bulk_modulus_reuss,bulk_modulus_vrh,composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
TiO2,168.646,142.098,155.372,Ti1 O2,8.0,22.0,14.0,12.666666666666666,6.222222222222221,8.0,43.0,87.0,44.0,72.33333333333333,19.555555555555557,87.0,15.9994,47.867,31.867599999999996,26.62193333333333,14.163377777777777,15.9994,54.8,1941.0,1886.2,683.5333333333333,838.3111111111111,54.8,4.0,16.0,12.0,12.0,5.333333333333333,16.0,2.0,4.0,2.0,2.6666666666666665,0.8888888888888888,2.0,66.0,160.0,94.0,97.33333333333333,41.77777777777778,66.0,1.54,3.44,1.9,2.8066666666666666,0.8444444444444444,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.6666666666666665,1.777777777777778,4.0,0.0,2.0,2.0,0.6666666666666666,0.888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,5.333333333333333,0.888888888888889,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.3333333333333333,0.888888888888889,2.0,0.0,8.0,8.0,2.6666666666666665,3.555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,4.0,2.6666666666666665,2.0,9.105,16.69,7.585000000000001,11.633333333333335,3.371111111111112,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25333333333e-05,2.25333333333e-05,7.5111111111e-06,1.00148148148e-05,0.0,12.0,194.0,182.0,72.66666666666667,80.8888888888889,12.0
ZrO2,134.734,120.75,127.742,Zr1 O2,8.0,40.0,32.0,18.666666666666668,14.222222222222223,8.0,44.0,87.0,43.0,72.66666666666667,19.11111111111111,87.0,15.9994,91.224,75.22460000000001,41.07426666666667,33.43315555555555,15.9994,54.8,2128.0,2073.2,745.8666666666667,921.4222222222221,54.8,4.0,16.0,12.0,12.0,5.333333333333333,16.0,2.0,5.0,3.0,3.0,1.3333333333333333,2.0,66.0,175.0,109.0,102.33333333333333,48.444444444444436,66.0,1.33,3.44,2.11,2.736666666666667,0.9377777777777777,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.6666666666666665,1.777777777777778,4.0,0.0,2.0,2.0,0.6666666666666666,0.888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,5.333333333333333,0.888888888888889,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.3333333333333333,0.888888888888889,2.0,0.0,8.0,8.0,2.6666666666666665,3.555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,4.0,2.6666666666666665,2.0,9.105,23.195,14.09,13.801666666666668,6.262222222222223,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,72.66666666666667,80.8888888888889,12.0
Ga2O3,156.516,154.573,155.545,Ga2 O3,8.0,31.0,23.0,17.2,11.040000000000001,8.0,74.0,87.0,13.0,81.8,6.24,87.0,15.9994,69.723,53.7236,37.488839999999996,25.787327999999995,15.9994,54.8,302.91,248.11,154.044,119.09280000000001,54.8,13.0,16.0,3.0,14.8,1.44,16.0,2.0,4.0,2.0,2.8,0.96,2.0,66.0,122.0,56.0,88.4,26.880000000000003,66.0,1.81,3.44,1.63,2.7880000000000003,0.7823999999999999,3.44,2.0,2.0,0.0,2.0,0.0,2.0,1.0,4.0,3.0,2.8,1.44,4.0,0.0,10.0,10.0,4.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,7.0,8.8,3.3600000000000003,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.2,1.44,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.2,1.44,2.0,9.105,18.8575,9.752500000000001,13.006,4.6812000000000005,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,64.0,52.0,32.8,24.96,12.0
CaC2,58.078,57.209,57.644,Ca1 C2,6.0,20.0,14.0,10.666666666666666,6.222222222222221,6.0,7.0,77.0,70.0,53.666666666666664,31.111111111111114,77.0,12.0107,40.078,28.067300000000003,21.366466666666668,12.474355555555556,12.0107,1115.0,3823.0,2708.0,2920.3333333333335,1203.5555555555554,3823.0,2.0,14.0,12.0,10.0,5.333333333333333,14.0,2.0,4.0,2.0,2.6666666666666665,0.8888888888888888,2.0,76.0,176.0,100.0,109.33333333333333,44.444444444444436,76.0,1.0,2.55,1.5499999999999998,2.033333333333333,0.6888888888888888,2.55,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,1.3333333333333333,0.888888888888889,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.3333333333333335,0.8888888888888888,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.6666666666666665,1.777777777777778,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.6666666666666665,1.777777777777778,4.0,5.64,37.77,32.13,16.35,14.280000000000001,5.64,0.0,4.496,4.496,2.9973333333333336,1.9982222222222223,4.496,0.0,0.0,0.0,0.0,0.0,0.0,194.0,225.0,31.0,204.33333333333334,13.77777777777778,194.0
Al2Te5,9.38,2.111,5.745,Al2 Te5,13.0,52.0,39.0,40.857142857142854,15.918367346938778,52.0,73.0,90.0,17.0,85.14285714285714,6.938775510204083,90.0,26.9815386,127.6,100.6184614,98.85186817142858,41.06875975510203,127.6,722.66,933.47,210.81000000000006,782.8914285714285,86.04489795918367,722.66,13.0,16.0,3.0,15.142857142857142,1.2244897959183676,16.0,3.0,5.0,2.0,4.428571428571429,0.8163265306122448,5.0,121.0,138.0,17.0,133.14285714285714,6.938775510204083,138.0,1.61,2.1,0.49,1.9600000000000002,0.19999999999999996,2.1,2.0,2.0,0.0,2.0,0.0,2.0,1.0,4.0,3.0,3.142857142857143,1.2244897959183676,4.0,0.0,10.0,10.0,7.142857142857143,4.081632653061225,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,13.0,12.285714285714286,5.3061224489795915,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,2.857142857142857,1.2244897959183676,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,2.857142857142857,1.2244897959183676,2.0,16.48,34.7633333333,18.283333333299996,29.5395238095,7.462585033999998,34.7633333333,0.0,0.464,0.464,0.33142857142857146,0.1893877551020408,0.464,0.0,0.0,0.0,0.0,0.0,0.0,152.0,225.0,73.0,172.85714285714286,29.79591836734694,152.0
GeAs,31.167,8.926,20.046,Ge1 As1,32.0,33.0,1.0,32.5,0.5,32.0,79.0,84.0,5.0,81.5,2.5,79.0,72.64,74.9216,2.2815999999999974,73.7808,1.1407999999999987,72.64,1090.0,1211.4,121.40000000000009,1150.7,60.700000000000045,1090.0,14.0,15.0,1.0,14.5,0.5,14.0,4.0,4.0,0.0,4.0,0.0,4.0,119.0,120.0,1.0,119.5,0.5,119.0,2.01,2.18,0.17000000000000037,2.0949999999999998,0.08500000000000019,2.01,2.0,2.0,0.0,2.0,0.0,2.0,2.0,3.0,1.0,2.5,0.5,2.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,15.0,1.0,14.5,0.5,14.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,3.5,0.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,3.5,0.5,3.0,22.175,23.005,0.8299999999999983,22.59,0.41499999999999915,22.175,0.0,0.383,0.383,0.1915,0.1915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,225.0,59.0,195.5,29.5,166.0
BiS2,29.724,17.266,23.495,Bi1 S2,16.0,83.0,67.0,38.333333333333336,29.777777777777782,16.0,86.0,88.0,2.0,87.33333333333333,0.8888888888888905,88.0,32.065,208.9804,176.9154,91.03680000000001,78.62906666666667,32.065,388.36,544.4,156.03999999999996,440.3733333333333,69.35111111111108,388.36,15.0,16.0,1.0,15.666666666666666,0.44444444444444464,16.0,3.0,6.0,3.0,4.0,1.3333333333333333,3.0,105.0,148.0,43.0,119.33333333333333,19.11111111111111,105.0,2.02,2.58,0.56,2.393333333333333,0.24888888888888902,2.58,2.0,2.0,0.0,2.0,0.0,2.0,3.0,4.0,1.0,3.6666666666666665,0.4444444444444445,4.0,0.0,10.0,10.0,3.3333333333333335,4.444444444444444,0.0,0.0,14.0,14.0,4.666666666666667,6.222222222222221,0.0,6.0,29.0,23.0,13.666666666666666,10.222222222222221,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.3333333333333335,0.4444444444444445,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.3333333333333335,0.4444444444444445,2.0,25.786875,32.95,7.163125000000004,28.174583333333334,3.1836111111111136,25.786875,0.0,2.202,2.202,1.468,0.9786666666666667,2.202,0.0,0.0,0.0,0.0,0.0,0.0,12.0,70.0,58.0,50.666666666666664,25.777777777777782,70.0
LiMg2,29.778,29.761,29.769,Li1 Mg2,3.0,12.0,9.0,9.0,4.0,12.0,1.0,68.0,67.0,45.666666666666664,29.777777777777782,68.0,6.941,24.305,17.364,18.517,7.717333333333333,24.305,453.69,923.0,469.31,766.5633333333334,208.5822222222222,923.0,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,2.0,2.0,3.0,1.0,2.6666666666666665,0.4444444444444445,3.0,128.0,141.0,13.0,136.66666666666666,5.777777777777781,141.0,0.98,1.31,0.33000000000000007,1.2,0.14666666666666672,1.31,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,2.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444445,0.0,16.5933333333,22.89,6.296666666700002,20.791111111099998,2.798518518533335,22.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,205.66666666666666,15.555555555555552,194.0
SF6,5.711,5.385,5.548,S1 F6,9.0,16.0,7.0,10.0,1.7142857142857142,9.0,88.0,93.0,5.0,92.28571428571429,1.224489795918363,93.0,18.9984032,32.065,13.0665968,20.865059885714285,3.1999828897959186,18.9984032,53.5,388.36,334.86,101.33714285714287,82.00653061224492,53.5,16.0,17.0,1.0,16.857142857142858,0.2448979591836731,17.0,2.0,3.0,1.0,2.142857142857143,0.24489795918367344,2.0,57.0,105.0,48.0,63.857142857142854,11.755102040816325,57.0,2.58,3.98,1.4,3.7800000000000002,0.34285714285714264,3.98,2.0,2.0,0.0,2.0,0.0,2.0,4.0,5.0,1.0,4.857142857142857,0.24489795918367374,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,1.0,6.857142857142857,0.24489795918367374,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.1428571428571428,0.24489795918367344,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.1428571428571428,0.24489795918367344,1.0,9.7075,25.786875,16.079375,12.004553571428572,3.9378061224489795,9.7075,1.97,2.202,0.23199999999999998,2.003142857142857,0.05681632653061224,1.97,0.0,0.0,0.0,0.0,0.0,0.0,15.0,70.0,55.0,22.857142857142858,13.469387755102039,15.0
LiMg,25.763,25.723,25.743,Li1 Mg1,3.0,12.0,9.0,7.5,4.5,3.0,1.0,68.0,67.0,34.5,33.5,1.0,6.941,24.305,17.364,15.623,8.681999999999999,6.941,453.69,923.0,469.31,688.345,234.655,453.69,1.0,2.0,1.0,1.5,0.5,1.0,2.0,3.0,1.0,2.5,0.5,2.0,128.0,141.0,13.0,134.5,6.5,128.0,0.98,1.31,0.33000000000000007,1.145,0.16500000000000004,0.98,1.0,2.0,1.0,1.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.5,0.5,1.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,16.5933333333,22.89,6.296666666700002,19.741666666649998,3.148333333350001,16.5933333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,211.5,17.5,194.0
Li2Mg,20.698,20.996,20.847,Li2 Mg1,3.0,12.0,9.0,6.0,4.0,3.0,1.0,68.0,67.0,23.333333333333332,29.777777777777782,1.0,6.941,24.305,17.364,12.729,7.717333333333333,6.941,453.69,923.0,469.31,610.1266666666667,208.5822222222222,453.69,1.0,2.0,1.0,1.3333333333333333,0.4444444444444444,1.0,2.0,3.0,1.0,2.3333333333333335,0.4444444444444445,2.0,128.0,141.0,13.0,132.33333333333334,5.777777777777781,128.0,0.98,1.31,0.33000000000000007,1.09,0.14666666666666672,0.98,1.0,2.0,1.0,1.3333333333333333,0.4444444444444444,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.3333333333333333,0.4444444444444444,1.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,1.0,16.5933333333,22.89,6.296666666700002,18.692222222199998,2.7985185185333337,16.5933333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,217.33333333333334,15.555555555555552,229.0
Yb2Mg,19.296,24.529,21.912,Yb2 Mg1,12.0,70.0,58.0,50.666666666666664,25.777777777777782,70.0,39.0,68.0,29.0,48.666666666666664,12.888888888888888,39.0,24.305,173.054,148.749,123.471,66.11066666666666,173.054,923.0,1092.0,169.0,1035.6666666666667,75.11111111111109,1092.0,2.0,3.0,1.0,2.6666666666666665,0.4444444444444445,3.0,3.0,6.0,3.0,5.0,1.3333333333333333,6.0,141.0,187.0,46.0,171.66666666666666,20.444444444444446,187.0,1.26,1.31,0.050000000000000044,1.2766666666666666,0.022222222222222216,1.26,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,9.333333333333334,6.222222222222221,14.0,2.0,16.0,14.0,11.333333333333334,6.222222222222221,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.89,34.12,11.229999999999997,30.376666666666665,4.99111111111111,34.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,225.0,31.0,214.66666666666666,13.77777777777778,225.0
YMg5,37.565,37.501,37.533,Y1 Mg5,12.0,39.0,27.0,16.5,7.5,12.0,12.0,68.0,56.0,58.666666666666664,15.555555555555557,68.0,24.305,88.90585,64.60085000000001,35.07180833333334,17.94468055555556,24.305,923.0,1799.0,876.0,1069.0,243.33333333333334,923.0,2.0,3.0,1.0,2.1666666666666665,0.2777777777777777,2.0,3.0,5.0,2.0,3.3333333333333335,0.5555555555555557,3.0,141.0,190.0,49.0,149.16666666666666,13.611111111111105,141.0,1.22,1.31,0.09000000000000008,1.2950000000000002,0.02499999999999995,1.31,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.16666666666666666,0.27777777777777773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.1666666666666665,0.2777777777777777,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,1.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,1.5,2.5,0.0,22.89,32.365,9.475000000000001,24.469166666666666,2.631944444444444,22.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,194.0,0.0,194.0,0.0,194.0
SrAs3,38.218,37.43,37.824,Sr1 As3,33.0,38.0,5.0,34.25,1.875,33.0,8.0,84.0,76.0,65.0,28.5,84.0,74.9216,87.62,12.698400000000007,78.0962,4.761900000000001,74.9216,1050.0,1090.0,40.0,1080.0,15.0,1090.0,2.0,15.0,13.0,11.75,4.875,15.0,4.0,5.0,1.0,4.25,0.375,4.0,119.0,195.0,76.0,138.0,28.5,119.0,0.95,2.18,1.2300000000000002,1.8725000000000003,0.46125,2.18,2.0,2.0,0.0,2.0,0.0,2.0,0.0,3.0,3.0,2.25,1.125,3.0,0.0,10.0,10.0,7.5,3.75,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,13.0,11.75,4.875,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.25,1.125,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.25,1.125,3.0,22.175,54.23,32.05499999999999,30.18875,12.020624999999999,22.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,225.0,59.0,180.75,22.125,166.0
VP2,156.198,153.437,154.817,V1 P2,15.0,23.0,8.0,17.666666666666668,3.555555555555556,15.0,46.0,83.0,37.0,70.66666666666667,16.444444444444443,83.0,30.973762,50.9415,19.967737999999997,37.629674666666666,8.87455022222222,30.973762,317.3,2183.0,1865.7,939.1999999999999,829.1999999999999,317.3,5.0,15.0,10.0,11.666666666666666,4.444444444444445,15.0,3.0,4.0,1.0,3.3333333333333335,0.4444444444444445,3.0,107.0,153.0,46.0,122.33333333333333,20.444444444444443,107.0,1.63,2.19,0.56,2.0033333333333334,0.24888888888888885,2.19,2.0,2.0,0.0,2.0,0.0,2.0,0.0,3.0,3.0,2.0,1.3333333333333333,3.0,0.0,3.0,3.0,1.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.3333333333333333,3.0,0.0,7.0,7.0,2.3333333333333335,3.1111111111111107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,4.0,4.333333333333333,1.7777777777777777,3.0,13.01,22.5702380952,9.5602380952,19.383492063466665,4.248994708977778,22.5702380952,0.0,1.625,1.625,1.0833333333333333,0.7222222222222223,1.625,0.0,0.0,0.0,0.0,0.0,0.0,2.0,229.0,227.0,77.66666666666667,100.88888888888887,2.0
HC,19.353,5.593,12.473,H1 C1,1.0,6.0,5.0,3.5,2.5,1.0,77.0,92.0,15.0,84.5,7.5,77.0,1.00794,12.0107,11.00276,6.50932,5.501379999999999,1.00794,14.01,3823.0,3808.99,1918.505,1904.495,14.01,1.0,14.0,13.0,7.5,6.5,1.0,1.0,2.0,1.0,1.5,0.5,1.0,31.0,76.0,45.0,53.5,22.5,31.0,2.2,2.55,0.34999999999999964,2.375,0.17499999999999982,2.2,1.0,2.0,1.0,1.5,0.5,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.5,1.5,1.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.5,1.5,1.0,5.64,6.615,0.9750000000000005,6.1274999999999995,0.48750000000000027,5.64,4.496,7.853,3.3569999999999993,6.1745,1.6784999999999997,4.496,0.0,0.0,0.0,0.0,0.0,0.0,194.0,194.0,0.0,194.0,0.0,194.0
CuCl4,1.031,1.167,1.099,Cu1 Cl4,17.0,29.0,12.0,19.4,3.839999999999999,17.0,64.0,94.0,30.0,88.0,9.6,94.0,35.453,63.546,28.092999999999996,41.071600000000004,8.98976,35.453,171.6,1357.77,1186.17,408.834,379.57439999999997,171.6,11.0,17.0,6.0,15.8,1.9199999999999995,17.0,3.0,4.0,1.0,3.2,0.3200000000000001,3.0,102.0,132.0,30.0,108.0,9.6,102.0,1.9,3.16,1.2600000000000002,2.9080000000000004,0.4031999999999999,3.16,1.0,2.0,1.0,1.8,0.31999999999999995,2.0,0.0,5.0,5.0,4.0,1.6,5.0,0.0,10.0,10.0,2.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,4.0,7.8,1.2799999999999998,7.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,1.0,1.0,0.8,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,11.07,24.4975,13.427499999999998,21.812,4.296799999999998,24.4975,0.0,2.493,2.493,1.9944,0.7977599999999999,2.493,0.0,0.0,0.0,0.0,0.0,0.0,64.0,225.0,161.0,96.2,51.52,64.0
SF4,5.967,5.836,5.902,S1 F4,9.0,16.0,7.0,10.4,2.24,9.0,88.0,93.0,5.0,92.0,1.6,93.0,18.9984032,32.065,13.0665968,21.611722559999997,4.181310975999999,18.9984032,53.5,388.36,334.86,120.47200000000001,107.15520000000001,53.5,16.0,17.0,1.0,16.8,0.31999999999999956,17.0,2.0,3.0,1.0,2.2,0.3200000000000001,2.0,57.0,105.0,48.0,66.6,15.359999999999996,57.0,2.58,3.98,1.4,3.7,0.44799999999999984,3.98,2.0,2.0,0.0,2.0,0.0,2.0,4.0,5.0,1.0,4.8,0.3200000000000001,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,1.0,6.8,0.3200000000000001,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.2,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.2,0.31999999999999995,1.0,9.7075,25.786875,16.079375,12.923374999999998,5.1453999999999995,9.7075,1.97,2.202,0.23199999999999998,2.0164,0.07424,1.97,0.0,0.0,0.0,0.0,0.0,0.0,15.0,70.0,55.0,26.0,17.6,15.0
